"Exchange Orders","طلبات الاستبدال"
"Create Exchange","إنشاء طلب استبدال"
"Create Exchange for Order #%1","إنشاء طلب استبدال للطلب رقم %1"
"Draft exchange %1 was created.","تم إنشاء مسودة الاستبدال %1."
"The exchange action was completed.","تم تنفيذ إجراء الاستبدال."
"The exchange action failed. Check the logs and try again.","تعذر تنفيذ إجراء الاستبدال. راجع السجلات وحاول مرة أخرى."
"The draft exchange could not be created. Check the logs and try again.","تعذر إنشاء مسودة الاستبدال. راجع السجلات وحاول مرة أخرى."
"Your admin session is no longer valid.","جلسة المدير لم تعد صالحة."
"Original Order Number","رقم الطلب الأصلي"
"Load Order","تحميل الطلب"
"Back to Exchange Orders","العودة إلى طلبات الاستبدال"
"Products to Return","المنتجات المراد إرجاعها"
"Replacement Products","المنتجات البديلة"
"Add Replacement Product","إضافة منتج بديل"
"Return Quantity","كمية الإرجاع"
"Reason","السبب"
"Select reason","اختر السبب"
"Wrong Product","منتج غير صحيح"
"Arrived Damaged","وصل تالفًا"
"Defective","به عيب"
"Size / Fit Issue","مشكلة في المقاس أو الملاءمة"
"Customer Changed Mind","غيّر العميل رأيه"
"Other","أخرى"
"SKU","رمز المنتج"
"Quantity","الكمية"
"Remove","إزالة"
"Customer Note","ملاحظة العميل"
"Internal Note","ملاحظة داخلية"
"Create Exchange Draft","إنشاء مسودة طلب الاستبدال"
"Exchange #","رقم الاستبدال"
"Original Order ID","معرّف الطلب الأصلي"
"Exchange Status","حالة الاستبدال"
"Return Status","حالة الإرجاع"
"Replacement Status","حالة البديل"
"Settlement Status","حالة التسوية"
"Balance","الرصيد"
"Created","تاريخ الإنشاء"
"Updated","تاريخ التحديث"
"View","عرض"
"Draft","مسودة"
"Pending Approval","بانتظار الموافقة"
"Approved","تمت الموافقة"
"In Progress","قيد التنفيذ"
"Completed","مكتمل"
"Rejected","مرفوض"
"Cancelled","ملغي"
"Pending","قيد الانتظار"
"Authorized","مصرح به"
"In Transit","قيد النقل"
"Received","تم الاستلام"
"Inspected","تم الفحص"
"Accepted","مقبول"
"Partially Accepted","مقبول جزئيًا"
"Ready","جاهز"
"Ordered","تم إنشاء الطلب"
"Shipped","تم الشحن"
"Delivered","تم التسليم"
"Payment Due","مبلغ مطلوب من العميل"
"Refund Due","مبلغ مستحق للعميل"
"Balanced","متوازن"
"Payment Received","تم استلام الدفع"
"Refund Issued","تم رد المبلغ"
"Failed","فشل"
"Approve","موافقة"
"Authorize Return","التصريح بالإرجاع"
"Start Exchange","بدء الاستبدال"
"Reject Exchange","رفض الاستبدال"
"Cancel Exchange","إلغاء الاستبدال"
"Original Order","الطلب الأصلي"
"Currency","العملة"
"Last Updated","آخر تحديث"
"Exchange","الاستبدال"
"Return","الإرجاع"
"Replacement","البديل"
"Settlement","التسوية"
"Financial Summary","الملخص المالي"
"Approved Return Credit","رصيد الإرجاع المعتمد"
"Replacement Merchandise","قيمة المنتجات البديلة"
"Replacement Shipping","شحن المنتجات البديلة"
"Exchange Fees","رسوم الاستبدال"
"Return Items","منتجات الإرجاع"
"Requested","المطلوب"
"Allocated","المحجوز"
"Received Quantity","الكمية المستلمة"
"Accepted plus rejected quantity must equal the received quantity before finalization.","يجب أن يساوي مجموع الكمية المقبولة والمرفوضة الكمية المستلمة قبل الإنهاء."
"Record Warehouse Receipt","تسجيل استلام المخزن"
"Save Receipt","حفظ الاستلام"
"Save & Finalize Receipt","حفظ وإنهاء الاستلام"
"Inspect Returned Products","فحص المنتجات المرتجعة"
"Condition","الحالة"
"Disposition","الإجراء المخزني"
"Select condition","اختر حالة المنتج"
"Select disposition","اختر الإجراء المخزني"
"Unopened","غير مفتوح"
"Like New","كالجديد"
"Opened","مفتوح"
"Damaged","تالف"
"Return to Saleable Stock","إعادة إلى المخزون القابل للبيع"
"Keep in Quarantine","الاحتفاظ في العزل"
"Write Off","إعدام"
"Return to Vendor","إرجاع إلى المورد"
"Save Inspection","حفظ الفحص"
"Save & Finalize Inspection","حفظ وإنهاء الفحص"
"Finalize Inspection","إنهاء الفحص"
"Derive the final return outcome from the saved inspection rows?","هل تريد تحديد نتيجة الإرجاع النهائية من بنود الفحص المحفوظة؟"
"Replacement Items","المنتجات البديلة"
"Unit Price","سعر الوحدة"
"Row Total","إجمالي السطر"
"Settlement Ledger","سجل التسوية"
"Audit History","سجل التدقيق"
"Version %1","الإصدار %1"
"Sales Exchanges","استبدالات المبيعات"
"General Configuration","الإعدادات العامة"
"Enable Sales Exchanges","تفعيل استبدالات المبيعات"
"Exchange Window (Days)","مدة السماح بالاستبدال (بالأيام)"
"Eligible Order Statuses","حالات الطلب المؤهلة"
"Allowed Return Reasons","أسباب الإرجاع المسموح بها"
"Sales exchanges are disabled for this store.","استبدالات المبيعات غير مفعلة لهذا المتجر."
"The order status is not eligible for an exchange.","حالة الطلب غير مؤهلة للاستبدال."
"The order is outside the %1-day exchange window.","الطلب خارج مدة الاستبدال البالغة %1 يومًا."
"The order has no supported quantity available to exchange.","لا يحتوي الطلب على كمية مدعومة ومتاحة للاستبدال."
"Select at least one returned item and one replacement item.","اختر منتجًا مرتجعًا واحدًا ومنتجًا بديلًا واحدًا على الأقل."
"The selected return reason is not allowed.","سبب الإرجاع المحدد غير مسموح به."
"Replacement SKU ""%1"" does not exist.","رمز المنتج البديل ""%1"" غير موجود."
"Replacement SKU ""%1"" is disabled.","رمز المنتج البديل ""%1"" غير مفعل."
"Replacement SKU ""%1"" must be a simple product in this release.","يجب أن يكون رمز المنتج البديل ""%1"" لمنتج بسيط في هذا الإصدار."
"The exchange case was changed by another process. Reload it and try again.","تم تعديل طلب الاستبدال بواسطة عملية أخرى. أعد تحميل الصفحة وحاول مرة أخرى."
"The return is not in the correct warehouse phase for this action.","الإرجاع ليس في مرحلة المخزن الصحيحة لهذا الإجراء."
"Every received unit must be inspected before finalizing the return.","يجب فحص كل وحدة مستلمة قبل إنهاء الإرجاع."
"Every authorized return line must have an explicit warehouse receipt result.","يجب تسجيل نتيجة استلام مخزني صريحة لكل بند إرجاع مصرح به."
"Every return line must have a resolved warehouse receipt.","يجب حسم استلام المخزن لكل بند إرجاع."
"Create Exchange Credit Memos","إنشاء إشعارات دائنة لطلبات الاستبدال"
"You are not authorized to perform exchange financial actions.","غير مصرح لك بتنفيذ الإجراءات المالية لطلبات الاستبدال."
"Create Offline Credit Memo","إنشاء إشعار دائن دون رد إلكتروني"
"Create an offline Magento credit memo for all accepted quantities not yet credited?","هل تريد إنشاء إشعار دائن في ماجنتو دون رد إلكتروني لجميع الكميات المقبولة التي لم تُقيّد بعد؟"
"Offline credit memo #%1 is reconciled with this exchange.","تمت مطابقة الإشعار الدائن دون رد إلكتروني رقم %1 مع طلب الاستبدال."
"The exchange request is invalid.","طلب إجراء الاستبدال غير صالح."
"The offline credit memo could not be created. Check the logs and try again.","تعذر إنشاء الإشعار الدائن دون رد إلكتروني. راجع السجلات وحاول مرة أخرى."
"The credit memo comment is invalid.","تعليق الإشعار الدائن غير صالح."
"The credit memo comment cannot exceed %1 characters.","لا يمكن أن يتجاوز تعليق الإشعار الدائن %1 حرفًا."
"Native Credit Memo Total (Actual)","إجمالي إشعارات ماجنتو الدائنة (الفعلي)"
"Native Credit Memo Base Total (Actual)","إجمالي إشعارات ماجنتو الدائنة بالعملة الأساسية (الفعلي)"
"Native Credit Memos","إشعارات ماجنتو الدائنة"
"Immutable Magento document links","روابط ثابتة لمستندات ماجنتو"
"No native credit memos were recorded.","لم تُسجل إشعارات دائنة في ماجنتو."
"Credit Memo","الإشعار الدائن"
"Expected Credit","الرصيد المتوقع"
"Actual Credit","الرصيد الفعلي"
"Base Actual","الفعلي بالعملة الأساسية"
"Status","الحالة"
"Credited","المُقيّد دائنًا"
"Refunded","تم رد المبلغ"
"Canceled","ملغي"
"Unknown","غير معروف"
"Create Exchange Replacement Orders","إنشاء طلبات ماجنتو للمنتجات البديلة"
"You are not authorized to create exchange replacement orders.","غير مصرح لك بإنشاء طلبات ماجنتو للمنتجات البديلة."
"Create Replacement Order","إنشاء طلب المنتج البديل"
"Resume Replacement Order","استكمال طلب المنتج البديل"
"Create the native Magento order for this replacement?","هل تريد إنشاء طلب ماجنتو للمنتجات البديلة؟"
"Resume native Magento order creation for this replacement?","هل تريد استكمال إنشاء طلب ماجنتو للمنتجات البديلة؟"
"View Replacement Order","عرض طلب المنتج البديل"
"Replacement order #%1 is reconciled with this exchange.","تمت مطابقة طلب المنتج البديل رقم %1 مع طلب الاستبدال."
"The replacement order could not be created. Check the logs and try again.","تعذر إنشاء طلب المنتج البديل. راجع السجلات وحاول مرة أخرى."
"The replacement order comment is invalid.","تعليق طلب المنتج البديل غير صالح."
"The replacement order comment cannot exceed %1 characters.","لا يمكن أن يتجاوز تعليق طلب المنتج البديل %1 حرفًا."
"Approved Replacement Merchandise","قيمة المنتجات البديلة المعتمدة"
"Approved Replacement Shipping","شحن المنتجات البديلة المعتمد"
"Native Replacement Order Total (Actual)","إجمالي طلب ماجنتو للمنتجات البديلة (الفعلي)"
"Native Replacement Order Base Total (Actual)","إجمالي طلب ماجنتو للمنتجات البديلة بالعملة الأساسية (الفعلي)"
"Replacement Order Variance","فرق طلب المنتج البديل"
"Not available","غير متاح"
